train dataset: size=186
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=10
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/94, train: loss=0.2005, val: psnr=22.0950, 3.5s 3.5s/5.5m
epoch 2/94, train: loss=0.1036, val: psnr=22.4415, 2.6s 6.1s/4.8m
epoch 3/94, train: loss=0.0848, val: psnr=24.6474, 2.6s 8.7s/4.5m
epoch 4/94, train: loss=0.0795, val: psnr=25.1520, 2.5s 11.2s/4.4m
epoch 5/94, train: loss=0.0697, val: psnr=24.0671, 2.5s 13.7s/4.3m
epoch 6/94, train: loss=0.0650, val: psnr=26.5004, 2.6s 16.3s/4.3m
epoch 7/94, train: loss=0.0661, val: psnr=25.7278, 2.5s 18.8s/4.2m
epoch 8/94, train: loss=0.0628, val: psnr=25.6096, 2.5s 21.4s/4.2m
epoch 9/94, train: loss=0.0678, val: psnr=25.5083, 2.5s 23.8s/4.1m
epoch 10/94, train: loss=0.0635, val: psnr=24.6480, 2.5s 26.4s/4.1m
epoch 11/94, train: loss=0.0585, val: psnr=25.3354, 2.5s 28.9s/4.1m
epoch 12/94, train: loss=0.0586, val: psnr=27.8098, 2.6s 31.4s/4.1m
epoch 13/94, train: loss=0.0548, val: psnr=25.5347, 2.5s 33.9s/4.1m
epoch 14/94, train: loss=0.0595, val: psnr=26.3011, 2.5s 36.4s/4.1m
epoch 15/94, train: loss=0.0583, val: psnr=25.6351, 2.5s 38.9s/4.1m
epoch 16/94, train: loss=0.0573, val: psnr=26.2953, 2.5s 41.4s/4.1m
epoch 17/94, train: loss=0.0560, val: psnr=29.2684, 2.6s 44.0s/4.1m
epoch 18/94, train: loss=0.0514, val: psnr=27.4136, 2.5s 46.5s/4.0m
epoch 19/94, train: loss=0.0550, val: psnr=30.1057, 2.5s 49.0s/4.0m
epoch 20/94, train: loss=0.0565, val: psnr=28.0696, 2.5s 51.6s/4.0m
epoch 21/94, train: loss=0.0537, val: psnr=27.6268, 2.5s 54.1s/4.0m
epoch 22/94, train: loss=0.0566, val: psnr=25.8868, 2.5s 56.7s/4.0m
epoch 23/94, train: loss=0.0507, val: psnr=30.0711, 2.5s 59.2s/4.0m
epoch 24/94, train: loss=0.0534, val: psnr=26.3943, 2.5s 1.0m/4.0m
epoch 25/94, train: loss=0.0519, val: psnr=27.1161, 2.5s 1.1m/4.0m
