train dataset: size=186
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=10
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/94, train: loss=0.1999, val: psnr=18.5710, 3.9s 3.9s/6.0m
epoch 2/94, train: loss=0.1127, val: psnr=24.1809, 3.6s 7.5s/5.9m
epoch 3/94, train: loss=0.0889, val: psnr=24.2306, 3.8s 11.3s/5.9m
epoch 4/94, train: loss=0.0764, val: psnr=24.9418, 3.5s 14.8s/5.8m
epoch 5/94, train: loss=0.0677, val: psnr=26.7886, 3.4s 18.3s/5.7m
epoch 6/94, train: loss=0.0737, val: psnr=27.3907, 3.8s 22.0s/5.8m
epoch 7/94, train: loss=0.0593, val: psnr=28.5253, 3.5s 25.5s/5.7m
epoch 8/94, train: loss=0.0635, val: psnr=25.6149, 3.4s 29.0s/5.7m
epoch 9/94, train: loss=0.0578, val: psnr=27.8315, 3.6s 32.6s/5.7m
epoch 10/94, train: loss=0.0566, val: psnr=32.6308, 3.8s 36.4s/5.7m
epoch 11/94, train: loss=0.0511, val: psnr=27.7941, 3.4s 39.8s/5.7m
epoch 12/94, train: loss=0.0547, val: psnr=31.6102, 3.4s 43.2s/5.6m
epoch 13/94, train: loss=0.0558, val: psnr=27.1041, 3.9s 47.1s/5.7m
epoch 14/94, train: loss=0.0504, val: psnr=27.7622, 3.4s 50.6s/5.7m
epoch 15/94, train: loss=0.0474, val: psnr=27.2560, 3.4s 54.0s/5.6m
epoch 16/94, train: loss=0.0481, val: psnr=26.0329, 3.7s 57.7s/5.6m
epoch 17/94, train: loss=0.0450, val: psnr=30.3576, 3.8s 1.0m/5.7m
epoch 18/94, train: loss=0.0510, val: psnr=26.9328, 3.5s 1.1m/5.7m
epoch 19/94, train: loss=0.0437, val: psnr=27.9076, 3.4s 1.1m/5.6m
epoch 20/94, train: loss=0.0500, val: psnr=29.9338, 3.9s 1.2m/5.7m
epoch 21/94, train: loss=0.0440, val: psnr=31.5349, 3.5s 1.3m/5.7m
epoch 22/94, train: loss=0.0468, val: psnr=28.2091, 3.5s 1.3m/5.6m
epoch 23/94, train: loss=0.0411, val: psnr=28.1725, 3.8s 1.4m/5.7m
epoch 24/94, train: loss=0.0456, val: psnr=30.5962, 3.7s 1.4m/5.7m
epoch 25/94, train: loss=0.0404, val: psnr=27.4480, 3.5s 1.5m/5.7m
epoch 26/94, train: loss=0.0489, val: psnr=26.4407, 3.6s 1.6m/5.7m
epoch 27/94, train: loss=0.0446, val: psnr=33.9060, 4.0s 1.6m/5.7m
epoch 28/94, train: loss=0.0429, val: psnr=27.6828, 3.6s 1.7m/5.7m
epoch 29/94, train: loss=0.0422, val: psnr=28.2277, 3.6s 1.8m/5.7m
epoch 30/94, train: loss=0.0468, val: psnr=28.8321, 3.9s 1.8m/5.7m
epoch 31/94, train: loss=0.0408, val: psnr=29.7314, 3.6s 1.9m/5.7m
epoch 32/94, train: loss=0.0435, val: psnr=28.4782, 3.6s 1.9m/5.7m
