train dataset: size=160
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=320
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/250, train: loss=0.3563, val: psnr=18.1138, 2.2s 2.2s/9.2m
epoch 2/250, train: loss=0.1663, val: psnr=18.8209, 1.7s 3.9s/8.2m
epoch 3/250, train: loss=0.1480, val: psnr=20.0875, 1.8s 5.7s/7.9m
epoch 4/250, train: loss=0.1119, val: psnr=23.2666, 1.7s 7.4s/7.7m
epoch 5/250, train: loss=0.0983, val: psnr=24.9155, 1.7s 9.2s/7.6m
epoch 6/250, train: loss=0.0818, val: psnr=24.6153, 1.7s 10.9s/7.5m
epoch 7/250, train: loss=0.0751, val: psnr=25.6148, 1.8s 12.6s/7.5m
epoch 8/250, train: loss=0.0799, val: psnr=25.9120, 1.8s 14.4s/7.5m
epoch 9/250, train: loss=0.0718, val: psnr=24.7007, 1.7s 16.1s/7.5m
epoch 10/250, train: loss=0.0679, val: psnr=26.1259, 1.7s 17.8s/7.4m
epoch 11/250, train: loss=0.0699, val: psnr=26.5011, 1.8s 19.6s/7.4m
epoch 12/250, train: loss=0.0614, val: psnr=26.9951, 1.7s 21.3s/7.4m
epoch 13/250, train: loss=0.0681, val: psnr=26.8936, 1.7s 23.1s/7.4m
epoch 14/250, train: loss=0.0575, val: psnr=27.4801, 1.8s 24.8s/7.4m
epoch 15/250, train: loss=0.0626, val: psnr=27.6537, 1.8s 26.6s/7.4m
epoch 16/250, train: loss=0.0608, val: psnr=27.8866, 1.7s 28.3s/7.4m
epoch 17/250, train: loss=0.0581, val: psnr=27.4243, 1.7s 30.0s/7.3m
epoch 18/250, train: loss=0.0576, val: psnr=28.4962, 1.8s 31.7s/7.3m
epoch 19/250, train: loss=0.0570, val: psnr=27.7393, 1.7s 33.4s/7.3m
epoch 20/250, train: loss=0.0615, val: psnr=26.9006, 1.7s 35.1s/7.3m
epoch 21/250, train: loss=0.0554, val: psnr=26.9668, 1.7s 36.8s/7.3m
epoch 22/250, train: loss=0.0576, val: psnr=27.8229, 1.6s 38.4s/7.3m
epoch 23/250, train: loss=0.0558, val: psnr=28.5601, 1.8s 40.2s/7.3m
epoch 24/250, train: loss=0.0546, val: psnr=28.0441, 1.7s 41.8s/7.3m
epoch 25/250, train: loss=0.0541, val: psnr=28.4128, 1.7s 43.5s/7.3m
epoch 26/250, train: loss=0.0495, val: psnr=29.4395, 1.7s 45.2s/7.3m
epoch 27/250, train: loss=0.0555, val: psnr=29.2558, 1.7s 46.9s/7.2m
epoch 28/250, train: loss=0.0538, val: psnr=28.2034, 1.6s 48.6s/7.2m
epoch 29/250, train: loss=0.0517, val: psnr=28.4323, 1.6s 50.2s/7.2m
epoch 30/250, train: loss=0.0528, val: psnr=28.5559, 1.6s 51.9s/7.2m
epoch 31/250, train: loss=0.0548, val: psnr=29.2145, 1.7s 53.5s/7.2m
epoch 32/250, train: loss=0.0504, val: psnr=29.4283, 1.7s 55.2s/7.2m
epoch 33/250, train: loss=0.0454, val: psnr=29.0048, 1.7s 56.9s/7.2m
epoch 34/250, train: loss=0.0484, val: psnr=28.7797, 1.7s 58.6s/7.2m
epoch 35/250, train: loss=0.0517, val: psnr=29.3689, 1.7s 1.0m/7.2m
epoch 36/250, train: loss=0.0492, val: psnr=29.0383, 1.7s 1.0m/7.2m
epoch 37/250, train: loss=0.0462, val: psnr=27.5709, 1.7s 1.1m/7.2m
epoch 38/250, train: loss=0.0470, val: psnr=29.9351, 1.7s 1.1m/7.2m
epoch 39/250, train: loss=0.0461, val: psnr=29.7185, 1.7s 1.1m/7.2m
epoch 40/250, train: loss=0.0475, val: psnr=29.9416, 1.8s 1.1m/7.2m
epoch 41/250, train: loss=0.0481, val: psnr=29.2175, 1.7s 1.2m/7.2m
epoch 42/250, train: loss=0.0449, val: psnr=29.3161, 1.7s 1.2m/7.2m
epoch 43/250, train: loss=0.0455, val: psnr=29.5738, 1.7s 1.2m/7.2m
epoch 44/250, train: loss=0.0473, val: psnr=29.3642, 1.7s 1.3m/7.1m
epoch 45/250, train: loss=0.0489, val: psnr=30.0751, 1.8s 1.3m/7.2m
epoch 46/250, train: loss=0.0484, val: psnr=29.6187, 1.7s 1.3m/7.2m
epoch 47/250, train: loss=0.0422, val: psnr=30.0814, 1.8s 1.3m/7.2m
epoch 48/250, train: loss=0.0601, val: psnr=29.0420, 1.7s 1.4m/7.2m
epoch 49/250, train: loss=0.0470, val: psnr=29.7814, 1.7s 1.4m/7.2m
epoch 50/250, train: loss=0.0421, val: psnr=29.9723, 1.7s 1.4m/7.2m
epoch 51/250, train: loss=0.0416, val: psnr=29.6967, 1.7s 1.5m/7.2m
epoch 52/250, train: loss=0.0411, val: psnr=30.4172, 1.8s 1.5m/7.2m
epoch 53/250, train: loss=0.0398, val: psnr=29.4864, 1.7s 1.5m/7.2m
epoch 54/250, train: loss=0.0409, val: psnr=30.2863, 1.7s 1.5m/7.2m
epoch 55/250, train: loss=0.0416, val: psnr=30.5088, 1.8s 1.6m/7.2m
epoch 56/250, train: loss=0.0401, val: psnr=30.6929, 1.8s 1.6m/7.2m
epoch 57/250, train: loss=0.0392, val: psnr=29.9756, 1.7s 1.6m/7.2m
epoch 58/250, train: loss=0.0385, val: psnr=30.2421, 1.7s 1.7m/7.2m
epoch 59/250, train: loss=0.0386, val: psnr=30.7853, 1.7s 1.7m/7.2m
epoch 60/250, train: loss=0.0394, val: psnr=30.2170, 1.7s 1.7m/7.2m
epoch 61/250, train: loss=0.0398, val: psnr=30.3393, 1.7s 1.7m/7.2m
epoch 62/250, train: loss=0.0416, val: psnr=30.4322, 1.7s 1.8m/7.2m
epoch 63/250, train: loss=0.0370, val: psnr=30.8145, 1.8s 1.8m/7.2m
epoch 64/250, train: loss=0.0405, val: psnr=30.0009, 1.7s 1.8m/7.2m
epoch 65/250, train: loss=0.0398, val: psnr=30.3337, 1.7s 1.9m/7.2m
epoch 66/250, train: loss=0.0398, val: psnr=30.8031, 1.7s 1.9m/7.2m
epoch 67/250, train: loss=0.0385, val: psnr=31.5352, 1.8s 1.9m/7.2m
epoch 68/250, train: loss=0.0397, val: psnr=30.6999, 1.7s 1.9m/7.2m
epoch 69/250, train: loss=0.0380, val: psnr=30.7187, 1.7s 2.0m/7.2m
epoch 70/250, train: loss=0.0416, val: psnr=30.2652, 1.7s 2.0m/7.2m
epoch 71/250, train: loss=0.0370, val: psnr=30.3842, 1.6s 2.0m/7.2m
epoch 72/250, train: loss=0.0383, val: psnr=30.7680, 1.7s 2.1m/7.2m
epoch 73/250, train: loss=0.0378, val: psnr=30.6205, 1.7s 2.1m/7.2m
epoch 74/250, train: loss=0.0388, val: psnr=30.7136, 1.7s 2.1m/7.2m
epoch 75/250, train: loss=0.0380, val: psnr=30.7038, 1.8s 2.1m/7.2m
epoch 76/250, train: loss=0.0387, val: psnr=30.5191, 1.7s 2.2m/7.2m
epoch 77/250, train: loss=0.0394, val: psnr=30.5728, 1.7s 2.2m/7.2m
epoch 78/250, train: loss=0.0360, val: psnr=30.2260, 1.7s 2.2m/7.2m
epoch 79/250, train: loss=0.0388, val: psnr=30.5893, 1.7s 2.3m/7.2m
epoch 80/250, train: loss=0.0398, val: psnr=30.9719, 1.9s 2.3m/7.2m
epoch 81/250, train: loss=0.0399, val: psnr=31.4218, 1.6s 2.3m/7.2m
epoch 82/250, train: loss=0.0364, val: psnr=30.8370, 1.7s 2.3m/7.2m
epoch 83/250, train: loss=0.0390, val: psnr=30.7716, 1.7s 2.4m/7.2m
epoch 84/250, train: loss=0.0378, val: psnr=31.2923, 1.7s 2.4m/7.1m
epoch 85/250, train: loss=0.0406, val: psnr=30.4122, 1.7s 2.4m/7.1m
epoch 86/250, train: loss=0.0381, val: psnr=30.5516, 1.6s 2.5m/7.1m
epoch 87/250, train: loss=0.0384, val: psnr=31.2148, 1.7s 2.5m/7.1m
epoch 88/250, train: loss=0.0392, val: psnr=31.2639, 1.7s 2.5m/7.1m
epoch 89/250, train: loss=0.0403, val: psnr=30.5509, 1.7s 2.5m/7.1m
epoch 90/250, train: loss=0.0423, val: psnr=30.6656, 1.7s 2.6m/7.1m
epoch 91/250, train: loss=0.0385, val: psnr=30.8351, 1.7s 2.6m/7.1m
epoch 92/250, train: loss=0.0380, val: psnr=30.9040, 1.7s 2.6m/7.1m
epoch 93/250, train: loss=0.0407, val: psnr=30.6493, 1.7s 2.7m/7.1m
epoch 94/250, train: loss=0.0386, val: psnr=30.3893, 1.6s 2.7m/7.1m
epoch 95/250, train: loss=0.0386, val: psnr=30.5620, 1.7s 2.7m/7.1m
epoch 96/250, train: loss=0.0363, val: psnr=30.7789, 1.7s 2.7m/7.1m
epoch 97/250, train: loss=0.0378, val: psnr=31.1443, 1.7s 2.8m/7.1m
epoch 98/250, train: loss=0.0351, val: psnr=31.3676, 1.7s 2.8m/7.1m
epoch 99/250, train: loss=0.0381, val: psnr=30.3192, 1.7s 2.8m/7.1m
epoch 100/250, train: loss=0.0361, val: psnr=30.8536, 1.7s 2.9m/7.1m
epoch 101/250, train: loss=0.0389, val: psnr=31.2836, 1.7s 2.9m/7.1m
epoch 102/250, train: loss=0.0362, val: psnr=31.2744, 1.7s 2.9m/7.1m
epoch 103/250, train: loss=0.0375, val: psnr=31.4493, 1.7s 2.9m/7.1m
epoch 104/250, train: loss=0.0346, val: psnr=30.9127, 1.7s 3.0m/7.1m
epoch 105/250, train: loss=0.0331, val: psnr=30.4947, 1.7s 3.0m/7.1m
epoch 106/250, train: loss=0.0366, val: psnr=31.6441, 1.8s 3.0m/7.1m
epoch 107/250, train: loss=0.0359, val: psnr=31.3891, 1.7s 3.0m/7.1m
epoch 108/250, train: loss=0.0365, val: psnr=31.1071, 1.7s 3.1m/7.1m
epoch 109/250, train: loss=0.0356, val: psnr=31.8527, 1.7s 3.1m/7.1m
epoch 110/250, train: loss=0.0386, val: psnr=30.5739, 1.7s 3.1m/7.1m
epoch 111/250, train: loss=0.0354, val: psnr=31.3105, 1.7s 3.2m/7.1m
epoch 112/250, train: loss=0.0369, val: psnr=31.3929, 1.7s 3.2m/7.1m
epoch 113/250, train: loss=0.0395, val: psnr=31.3593, 1.7s 3.2m/7.1m
epoch 114/250, train: loss=0.0373, val: psnr=30.4267, 1.7s 3.2m/7.1m
epoch 115/250, train: loss=0.0367, val: psnr=32.0869, 1.7s 3.3m/7.1m
epoch 116/250, train: loss=0.0367, val: psnr=31.0883, 1.7s 3.3m/7.1m
epoch 117/250, train: loss=0.0380, val: psnr=31.2793, 1.7s 3.3m/7.1m
epoch 118/250, train: loss=0.0361, val: psnr=30.8978, 1.7s 3.4m/7.1m
epoch 119/250, train: loss=0.0365, val: psnr=31.2873, 1.7s 3.4m/7.1m
epoch 120/250, train: loss=0.0366, val: psnr=30.9599, 1.7s 3.4m/7.1m
epoch 121/250, train: loss=0.0345, val: psnr=31.0676, 1.7s 3.4m/7.1m
epoch 122/250, train: loss=0.0351, val: psnr=31.4102, 1.7s 3.5m/7.1m
epoch 123/250, train: loss=0.0368, val: psnr=31.4878, 1.7s 3.5m/7.1m
epoch 124/250, train: loss=0.0342, val: psnr=31.2579, 1.6s 3.5m/7.1m
epoch 125/250, train: loss=0.0378, val: psnr=31.5205, 1.7s 3.6m/7.1m
epoch 126/250, train: loss=0.0365, val: psnr=31.2674, 1.7s 3.6m/7.1m
epoch 127/250, train: loss=0.0334, val: psnr=30.7935, 1.7s 3.6m/7.1m
epoch 128/250, train: loss=0.0366, val: psnr=31.5711, 1.7s 3.6m/7.1m
epoch 129/250, train: loss=0.0379, val: psnr=32.1657, 1.7s 3.7m/7.1m
epoch 130/250, train: loss=0.0349, val: psnr=30.9016, 1.7s 3.7m/7.1m
epoch 131/250, train: loss=0.0369, val: psnr=31.3730, 1.7s 3.7m/7.1m
epoch 132/250, train: loss=0.0357, val: psnr=31.0775, 1.7s 3.8m/7.1m
epoch 133/250, train: loss=0.0358, val: psnr=31.0609, 1.7s 3.8m/7.1m
epoch 134/250, train: loss=0.0365, val: psnr=31.1773, 1.7s 3.8m/7.1m
epoch 135/250, train: loss=0.0357, val: psnr=31.5481, 1.7s 3.8m/7.1m
epoch 136/250, train: loss=0.0325, val: psnr=31.2235, 1.7s 3.9m/7.1m
epoch 137/250, train: loss=0.0367, val: psnr=31.0093, 1.7s 3.9m/7.1m
epoch 138/250, train: loss=0.0376, val: psnr=31.5319, 1.7s 3.9m/7.1m
epoch 139/250, train: loss=0.0344, val: psnr=31.9568, 1.7s 4.0m/7.1m
epoch 140/250, train: loss=0.0381, val: psnr=31.5918, 1.7s 4.0m/7.1m
epoch 141/250, train: loss=0.0346, val: psnr=31.6168, 1.7s 4.0m/7.1m
epoch 142/250, train: loss=0.0376, val: psnr=31.6230, 1.7s 4.0m/7.1m
epoch 143/250, train: loss=0.0362, val: psnr=31.8154, 1.7s 4.1m/7.1m
epoch 144/250, train: loss=0.0337, val: psnr=31.6278, 1.7s 4.1m/7.1m
epoch 145/250, train: loss=0.0367, val: psnr=31.3318, 1.7s 4.1m/7.1m
epoch 146/250, train: loss=0.0375, val: psnr=31.6900, 1.7s 4.1m/7.1m
epoch 147/250, train: loss=0.0371, val: psnr=31.0019, 1.7s 4.2m/7.1m
epoch 148/250, train: loss=0.0382, val: psnr=30.9723, 1.7s 4.2m/7.1m
epoch 149/250, train: loss=0.0363, val: psnr=31.4598, 1.7s 4.2m/7.1m
epoch 150/250, train: loss=0.0353, val: psnr=31.3743, 1.6s 4.3m/7.1m
epoch 151/250, train: loss=0.0337, val: psnr=31.6588, 1.7s 4.3m/7.1m
epoch 152/250, train: loss=0.0349, val: psnr=30.7045, 1.7s 4.3m/7.1m
epoch 153/250, train: loss=0.0336, val: psnr=31.1041, 1.7s 4.3m/7.1m
epoch 154/250, train: loss=0.0354, val: psnr=31.2606, 1.7s 4.4m/7.1m
epoch 155/250, train: loss=0.0336, val: psnr=31.0439, 1.7s 4.4m/7.1m
epoch 156/250, train: loss=0.0357, val: psnr=31.4283, 1.6s 4.4m/7.1m
epoch 157/250, train: loss=0.0366, val: psnr=31.3717, 1.7s 4.5m/7.1m
epoch 158/250, train: loss=0.0354, val: psnr=31.7098, 1.7s 4.5m/7.1m
epoch 159/250, train: loss=0.0345, val: psnr=31.4167, 1.7s 4.5m/7.1m
epoch 160/250, train: loss=0.0333, val: psnr=30.8888, 1.7s 4.5m/7.1m
epoch 161/250, train: loss=0.0343, val: psnr=30.6538, 1.7s 4.6m/7.1m
epoch 162/250, train: loss=0.0336, val: psnr=31.1019, 1.7s 4.6m/7.1m
epoch 163/250, train: loss=0.0342, val: psnr=31.7865, 1.7s 4.6m/7.1m
epoch 164/250, train: loss=0.0346, val: psnr=31.1173, 1.7s 4.7m/7.1m
epoch 165/250, train: loss=0.0348, val: psnr=31.1917, 1.7s 4.7m/7.1m
epoch 166/250, train: loss=0.0362, val: psnr=31.3118, 1.7s 4.7m/7.1m
epoch 167/250, train: loss=0.0358, val: psnr=31.2034, 1.7s 4.7m/7.1m
epoch 168/250, train: loss=0.0333, val: psnr=32.2794, 1.8s 4.8m/7.1m
epoch 169/250, train: loss=0.0351, val: psnr=31.7825, 1.7s 4.8m/7.1m
epoch 170/250, train: loss=0.0354, val: psnr=31.5588, 1.7s 4.8m/7.1m
epoch 171/250, train: loss=0.0347, val: psnr=31.0989, 1.7s 4.9m/7.1m
epoch 172/250, train: loss=0.0366, val: psnr=31.5950, 1.7s 4.9m/7.1m
epoch 173/250, train: loss=0.0366, val: psnr=31.0242, 1.6s 4.9m/7.1m
epoch 174/250, train: loss=0.0342, val: psnr=32.0763, 1.7s 4.9m/7.1m
epoch 175/250, train: loss=0.0360, val: psnr=31.9848, 1.7s 5.0m/7.1m
epoch 176/250, train: loss=0.0357, val: psnr=31.8227, 1.7s 5.0m/7.1m
epoch 177/250, train: loss=0.0345, val: psnr=31.8541, 1.7s 5.0m/7.1m
epoch 178/250, train: loss=0.0375, val: psnr=31.7771, 1.7s 5.1m/7.1m
epoch 179/250, train: loss=0.0385, val: psnr=31.4865, 1.7s 5.1m/7.1m
epoch 180/250, train: loss=0.0366, val: psnr=32.3354, 1.7s 5.1m/7.1m
epoch 181/250, train: loss=0.0346, val: psnr=32.2007, 1.7s 5.1m/7.1m
epoch 182/250, train: loss=0.0346, val: psnr=31.5119, 1.7s 5.2m/7.1m
epoch 183/250, train: loss=0.0353, val: psnr=31.0236, 1.7s 5.2m/7.1m
epoch 184/250, train: loss=0.0337, val: psnr=31.8873, 1.7s 5.2m/7.1m
epoch 185/250, train: loss=0.0352, val: psnr=30.7984, 1.7s 5.3m/7.1m
epoch 186/250, train: loss=0.0354, val: psnr=31.4822, 1.7s 5.3m/7.1m
epoch 187/250, train: loss=0.0343, val: psnr=31.7975, 1.7s 5.3m/7.1m
epoch 188/250, train: loss=0.0330, val: psnr=32.0983, 1.7s 5.3m/7.1m
epoch 189/250, train: loss=0.0342, val: psnr=31.9210, 1.7s 5.4m/7.1m
epoch 190/250, train: loss=0.0343, val: psnr=31.9347, 1.7s 5.4m/7.1m
epoch 191/250, train: loss=0.0353, val: psnr=31.2892, 1.7s 5.4m/7.1m
epoch 192/250, train: loss=0.0356, val: psnr=32.0007, 1.7s 5.5m/7.1m
epoch 193/250, train: loss=0.0350, val: psnr=31.6044, 1.7s 5.5m/7.1m
epoch 194/250, train: loss=0.0363, val: psnr=31.5329, 1.7s 5.5m/7.1m
epoch 195/250, train: loss=0.0352, val: psnr=31.3963, 1.7s 5.5m/7.1m
epoch 196/250, train: loss=0.0343, val: psnr=31.1572, 1.7s 5.6m/7.1m
epoch 197/250, train: loss=0.0329, val: psnr=31.1122, 1.8s 5.6m/7.1m
epoch 198/250, train: loss=0.0336, val: psnr=31.3211, 1.7s 5.6m/7.1m
epoch 199/250, train: loss=0.0361, val: psnr=31.4070, 1.7s 5.7m/7.1m
epoch 200/250, train: loss=0.0343, val: psnr=31.9098, 1.8s 5.7m/7.1m
epoch 201/250, train: loss=0.0341, val: psnr=31.2094, 1.7s 5.7m/7.1m
epoch 202/250, train: loss=0.0352, val: psnr=31.7976, 1.7s 5.7m/7.1m
epoch 203/250, train: loss=0.0341, val: psnr=31.2448, 1.7s 5.8m/7.1m
epoch 204/250, train: loss=0.0346, val: psnr=30.8960, 1.7s 5.8m/7.1m
epoch 205/250, train: loss=0.0337, val: psnr=31.0879, 1.7s 5.8m/7.1m
epoch 206/250, train: loss=0.0337, val: psnr=31.1635, 1.7s 5.8m/7.1m
epoch 207/250, train: loss=0.0331, val: psnr=31.4001, 1.7s 5.9m/7.1m
epoch 208/250, train: loss=0.0350, val: psnr=31.0526, 1.7s 5.9m/7.1m
epoch 209/250, train: loss=0.0333, val: psnr=31.6432, 1.7s 5.9m/7.1m
epoch 210/250, train: loss=0.0339, val: psnr=32.3138, 1.7s 6.0m/7.1m
epoch 211/250, train: loss=0.0346, val: psnr=31.6690, 1.7s 6.0m/7.1m
epoch 212/250, train: loss=0.0338, val: psnr=31.5163, 1.7s 6.0m/7.1m
epoch 213/250, train: loss=0.0336, val: psnr=31.2320, 1.7s 6.0m/7.1m
epoch 214/250, train: loss=0.0350, val: psnr=31.6203, 1.7s 6.1m/7.1m
epoch 215/250, train: loss=0.0349, val: psnr=31.4117, 1.7s 6.1m/7.1m
epoch 216/250, train: loss=0.0333, val: psnr=31.9230, 1.7s 6.1m/7.1m
epoch 217/250, train: loss=0.0335, val: psnr=30.9335, 1.7s 6.2m/7.1m
epoch 218/250, train: loss=0.0335, val: psnr=31.4622, 1.7s 6.2m/7.1m
epoch 219/250, train: loss=0.0344, val: psnr=31.8462, 1.7s 6.2m/7.1m
epoch 220/250, train: loss=0.0338, val: psnr=31.4753, 1.8s 6.2m/7.1m
epoch 221/250, train: loss=0.0350, val: psnr=31.4782, 1.7s 6.3m/7.1m
epoch 222/250, train: loss=0.0346, val: psnr=31.7758, 1.7s 6.3m/7.1m
epoch 223/250, train: loss=0.0342, val: psnr=31.3987, 1.7s 6.3m/7.1m
epoch 224/250, train: loss=0.0347, val: psnr=32.0162, 1.7s 6.4m/7.1m
epoch 225/250, train: loss=0.0355, val: psnr=31.9573, 1.7s 6.4m/7.1m
epoch 226/250, train: loss=0.0356, val: psnr=32.2932, 1.7s 6.4m/7.1m
epoch 227/250, train: loss=0.0368, val: psnr=31.9240, 1.7s 6.4m/7.1m
