train dataset: size=160
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=320
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/250, train: loss=0.3552, val: psnr=18.1276, 2.4s 2.4s/10.0m
epoch 2/250, train: loss=0.1764, val: psnr=21.9040, 1.8s 4.2s/8.8m
epoch 3/250, train: loss=0.1144, val: psnr=23.5048, 1.9s 6.1s/8.5m
epoch 4/250, train: loss=0.0899, val: psnr=24.2703, 1.8s 8.0s/8.3m
epoch 5/250, train: loss=0.0862, val: psnr=25.1578, 1.9s 9.8s/8.2m
epoch 6/250, train: loss=0.0805, val: psnr=25.4042, 1.9s 11.7s/8.1m
epoch 7/250, train: loss=0.0754, val: psnr=25.7485, 1.8s 13.5s/8.0m
epoch 8/250, train: loss=0.0862, val: psnr=25.2301, 1.8s 15.3s/8.0m
epoch 9/250, train: loss=0.0901, val: psnr=26.1843, 1.9s 17.2s/7.9m
epoch 10/250, train: loss=0.0698, val: psnr=26.2079, 1.9s 19.0s/7.9m
epoch 11/250, train: loss=0.0685, val: psnr=27.0869, 1.8s 20.8s/7.9m
epoch 12/250, train: loss=0.0632, val: psnr=27.4895, 1.8s 22.6s/7.9m
epoch 13/250, train: loss=0.0640, val: psnr=26.2068, 1.8s 24.4s/7.8m
epoch 14/250, train: loss=0.0710, val: psnr=26.7080, 1.8s 26.2s/7.8m
epoch 15/250, train: loss=0.0633, val: psnr=26.5796, 1.8s 28.0s/7.8m
epoch 16/250, train: loss=0.0642, val: psnr=27.1355, 1.8s 29.8s/7.7m
epoch 17/250, train: loss=0.0569, val: psnr=28.1272, 1.9s 31.6s/7.7m
epoch 18/250, train: loss=0.0575, val: psnr=27.9212, 1.8s 33.4s/7.7m
epoch 19/250, train: loss=0.0602, val: psnr=27.9097, 1.7s 35.1s/7.7m
epoch 20/250, train: loss=0.0610, val: psnr=27.9542, 1.8s 36.9s/7.7m
epoch 21/250, train: loss=0.0541, val: psnr=28.6407, 1.8s 38.8s/7.7m
epoch 22/250, train: loss=0.0563, val: psnr=29.3782, 1.9s 40.6s/7.7m
epoch 23/250, train: loss=0.0599, val: psnr=28.3976, 1.7s 42.4s/7.7m
epoch 24/250, train: loss=0.0574, val: psnr=28.5030, 1.7s 44.1s/7.7m
epoch 25/250, train: loss=0.0566, val: psnr=28.1542, 1.8s 45.9s/7.7m
epoch 26/250, train: loss=0.0600, val: psnr=28.1559, 1.8s 47.7s/7.6m
epoch 27/250, train: loss=0.0551, val: psnr=28.5395, 1.8s 49.5s/7.6m
epoch 28/250, train: loss=0.0539, val: psnr=29.0343, 1.8s 51.2s/7.6m
epoch 29/250, train: loss=0.0559, val: psnr=29.5363, 1.9s 53.1s/7.6m
epoch 30/250, train: loss=0.0507, val: psnr=28.4240, 1.8s 54.9s/7.6m
epoch 31/250, train: loss=0.0516, val: psnr=28.8713, 1.7s 56.6s/7.6m
epoch 32/250, train: loss=0.0471, val: psnr=29.7307, 1.8s 58.4s/7.6m
epoch 33/250, train: loss=0.0475, val: psnr=28.8111, 1.8s 1.0m/7.6m
epoch 34/250, train: loss=0.0500, val: psnr=29.6450, 1.8s 1.0m/7.6m
epoch 35/250, train: loss=0.0444, val: psnr=29.2962, 1.7s 1.1m/7.6m
epoch 36/250, train: loss=0.0487, val: psnr=27.0994, 1.8s 1.1m/7.6m
epoch 37/250, train: loss=0.0564, val: psnr=29.0800, 1.8s 1.1m/7.6m
epoch 38/250, train: loss=0.0528, val: psnr=29.4301, 1.7s 1.1m/7.6m
epoch 39/250, train: loss=0.0468, val: psnr=29.2959, 1.8s 1.2m/7.6m
epoch 40/250, train: loss=0.0505, val: psnr=29.1508, 1.7s 1.2m/7.6m
epoch 41/250, train: loss=0.0482, val: psnr=28.9669, 1.8s 1.2m/7.6m
epoch 42/250, train: loss=0.0515, val: psnr=29.8080, 1.9s 1.3m/7.6m
epoch 43/250, train: loss=0.0464, val: psnr=29.2181, 1.8s 1.3m/7.6m
epoch 44/250, train: loss=0.0459, val: psnr=29.6837, 1.8s 1.3m/7.5m
epoch 45/250, train: loss=0.0433, val: psnr=30.6251, 1.8s 1.4m/7.6m
epoch 46/250, train: loss=0.0420, val: psnr=29.9102, 1.8s 1.4m/7.5m
epoch 47/250, train: loss=0.0446, val: psnr=28.8286, 1.8s 1.4m/7.5m
epoch 48/250, train: loss=0.0432, val: psnr=30.1928, 1.8s 1.4m/7.5m
epoch 49/250, train: loss=0.0455, val: psnr=30.3951, 1.7s 1.5m/7.5m
epoch 50/250, train: loss=0.0520, val: psnr=29.4005, 1.9s 1.5m/7.5m
epoch 51/250, train: loss=0.0490, val: psnr=30.2215, 1.8s 1.5m/7.5m
epoch 52/250, train: loss=0.0454, val: psnr=30.3627, 1.8s 1.6m/7.5m
epoch 53/250, train: loss=0.0402, val: psnr=31.2105, 1.8s 1.6m/7.5m
epoch 54/250, train: loss=0.0428, val: psnr=30.5817, 1.8s 1.6m/7.5m
epoch 55/250, train: loss=0.0437, val: psnr=30.5632, 1.7s 1.7m/7.5m
epoch 56/250, train: loss=0.0412, val: psnr=30.4050, 1.8s 1.7m/7.5m
epoch 57/250, train: loss=0.0411, val: psnr=31.3337, 1.9s 1.7m/7.5m
epoch 58/250, train: loss=0.0437, val: psnr=30.1360, 1.8s 1.7m/7.5m
epoch 59/250, train: loss=0.0416, val: psnr=30.6236, 1.8s 1.8m/7.5m
epoch 60/250, train: loss=0.0412, val: psnr=31.0725, 1.7s 1.8m/7.5m
epoch 61/250, train: loss=0.0413, val: psnr=30.4719, 1.8s 1.8m/7.5m
epoch 62/250, train: loss=0.0404, val: psnr=30.6572, 1.8s 1.9m/7.5m
epoch 63/250, train: loss=0.0432, val: psnr=30.5670, 1.8s 1.9m/7.5m
epoch 64/250, train: loss=0.0404, val: psnr=30.6767, 1.8s 1.9m/7.5m
epoch 65/250, train: loss=0.0412, val: psnr=30.9042, 1.8s 2.0m/7.5m
epoch 66/250, train: loss=0.0413, val: psnr=30.7538, 1.8s 2.0m/7.5m
epoch 67/250, train: loss=0.0418, val: psnr=31.2042, 1.8s 2.0m/7.5m
epoch 68/250, train: loss=0.0396, val: psnr=30.6944, 1.8s 2.0m/7.5m
epoch 69/250, train: loss=0.0404, val: psnr=31.1694, 1.8s 2.1m/7.5m
epoch 70/250, train: loss=0.0423, val: psnr=30.6902, 1.8s 2.1m/7.5m
epoch 71/250, train: loss=0.0395, val: psnr=30.8641, 1.8s 2.1m/7.5m
epoch 72/250, train: loss=0.0403, val: psnr=31.0191, 1.8s 2.2m/7.5m
epoch 73/250, train: loss=0.0436, val: psnr=30.7083, 1.8s 2.2m/7.5m
epoch 74/250, train: loss=0.0407, val: psnr=30.5386, 1.8s 2.2m/7.5m
epoch 75/250, train: loss=0.0399, val: psnr=31.1414, 1.8s 2.3m/7.5m
epoch 76/250, train: loss=0.0410, val: psnr=30.9856, 1.8s 2.3m/7.5m
epoch 77/250, train: loss=0.0377, val: psnr=31.8730, 1.9s 2.3m/7.5m
epoch 78/250, train: loss=0.0402, val: psnr=31.0184, 1.8s 2.4m/7.5m
epoch 79/250, train: loss=0.0408, val: psnr=30.9168, 1.8s 2.4m/7.5m
epoch 80/250, train: loss=0.0406, val: psnr=31.0333, 2.0s 2.4m/7.5m
epoch 81/250, train: loss=0.0421, val: psnr=31.3325, 1.8s 2.4m/7.5m
epoch 82/250, train: loss=0.0402, val: psnr=30.8114, 1.8s 2.5m/7.5m
epoch 83/250, train: loss=0.0388, val: psnr=30.9303, 1.8s 2.5m/7.5m
epoch 84/250, train: loss=0.0395, val: psnr=31.0818, 1.8s 2.5m/7.5m
epoch 85/250, train: loss=0.0421, val: psnr=30.5184, 1.8s 2.6m/7.5m
epoch 86/250, train: loss=0.0427, val: psnr=31.0001, 1.8s 2.6m/7.5m
epoch 87/250, train: loss=0.0418, val: psnr=30.6234, 1.8s 2.6m/7.5m
epoch 88/250, train: loss=0.0411, val: psnr=31.1806, 1.8s 2.7m/7.5m
epoch 89/250, train: loss=0.0419, val: psnr=31.4312, 1.8s 2.7m/7.5m
epoch 90/250, train: loss=0.0405, val: psnr=31.2390, 1.8s 2.7m/7.5m
epoch 91/250, train: loss=0.0398, val: psnr=30.7829, 1.8s 2.7m/7.5m
epoch 92/250, train: loss=0.0393, val: psnr=31.1899, 1.8s 2.8m/7.5m
epoch 93/250, train: loss=0.0388, val: psnr=31.0155, 1.7s 2.8m/7.5m
epoch 94/250, train: loss=0.0378, val: psnr=31.1323, 1.8s 2.8m/7.5m
epoch 95/250, train: loss=0.0395, val: psnr=31.3045, 1.8s 2.9m/7.5m
epoch 96/250, train: loss=0.0389, val: psnr=30.5611, 1.8s 2.9m/7.5m
epoch 97/250, train: loss=0.0385, val: psnr=31.1742, 1.8s 2.9m/7.5m
epoch 98/250, train: loss=0.0398, val: psnr=30.8402, 1.8s 2.9m/7.5m
epoch 99/250, train: loss=0.0395, val: psnr=31.2146, 1.8s 3.0m/7.5m
epoch 100/250, train: loss=0.0383, val: psnr=30.7818, 1.8s 3.0m/7.5m
epoch 101/250, train: loss=0.0404, val: psnr=30.7775, 1.8s 3.0m/7.5m
epoch 102/250, train: loss=0.0392, val: psnr=31.5875, 1.8s 3.1m/7.5m
epoch 103/250, train: loss=0.0381, val: psnr=30.7840, 1.8s 3.1m/7.5m
epoch 104/250, train: loss=0.0395, val: psnr=30.8728, 1.8s 3.1m/7.5m
epoch 105/250, train: loss=0.0349, val: psnr=31.3247, 1.8s 3.2m/7.5m
