train dataset: size=160
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=320
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/250, train: loss=0.4107, val: psnr=17.0636, 2.4s 2.4s/10.0m
epoch 2/250, train: loss=0.2129, val: psnr=21.9970, 1.9s 4.3s/8.9m
epoch 3/250, train: loss=0.1567, val: psnr=22.9973, 1.9s 6.1s/8.5m
epoch 4/250, train: loss=0.1270, val: psnr=24.1671, 1.9s 8.0s/8.3m
epoch 5/250, train: loss=0.1305, val: psnr=23.3737, 1.8s 9.8s/8.2m
epoch 6/250, train: loss=0.1172, val: psnr=24.9694, 2.0s 11.8s/8.2m
epoch 7/250, train: loss=0.0995, val: psnr=24.9674, 1.8s 13.6s/8.1m
epoch 8/250, train: loss=0.0928, val: psnr=27.0534, 1.9s 15.5s/8.1m
epoch 9/250, train: loss=0.1120, val: psnr=25.6276, 1.8s 17.4s/8.0m
epoch 10/250, train: loss=0.1185, val: psnr=25.2642, 1.8s 19.2s/8.0m
epoch 11/250, train: loss=0.1023, val: psnr=25.5835, 1.8s 21.0s/8.0m
epoch 12/250, train: loss=0.0944, val: psnr=26.7757, 1.8s 22.9s/7.9m
epoch 13/250, train: loss=0.0913, val: psnr=27.9487, 2.0s 24.8s/8.0m
epoch 14/250, train: loss=0.0840, val: psnr=27.3904, 1.8s 26.7s/7.9m
epoch 15/250, train: loss=0.0828, val: psnr=27.8023, 1.8s 28.4s/7.9m
epoch 16/250, train: loss=0.0977, val: psnr=26.6402, 1.8s 30.3s/7.9m
epoch 17/250, train: loss=0.0885, val: psnr=27.4122, 1.8s 32.1s/7.9m
epoch 18/250, train: loss=0.0821, val: psnr=28.1025, 1.9s 34.0s/7.9m
epoch 19/250, train: loss=0.0841, val: psnr=28.0912, 1.8s 35.9s/7.9m
epoch 20/250, train: loss=0.0853, val: psnr=28.4395, 1.9s 37.8s/7.9m
epoch 21/250, train: loss=0.0803, val: psnr=28.0317, 1.8s 39.6s/7.9m
epoch 22/250, train: loss=0.0758, val: psnr=28.4030, 1.8s 41.4s/7.8m
epoch 23/250, train: loss=0.0726, val: psnr=28.4538, 1.9s 43.3s/7.9m
