train dataset: size=160
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=320
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/250, train: loss=0.4221, val: psnr=18.1329, 3.5s 3.5s/14.4m
epoch 2/250, train: loss=0.2149, val: psnr=18.8794, 3.0s 6.4s/13.4m
epoch 3/250, train: loss=0.1847, val: psnr=21.4055, 3.0s 9.4s/13.1m
epoch 4/250, train: loss=0.1475, val: psnr=23.9158, 2.9s 12.3s/12.9m
epoch 5/250, train: loss=0.1335, val: psnr=24.9454, 3.0s 15.3s/12.8m
epoch 6/250, train: loss=0.1154, val: psnr=24.9884, 3.0s 18.3s/12.7m
epoch 7/250, train: loss=0.1049, val: psnr=26.1780, 3.0s 21.3s/12.7m
epoch 8/250, train: loss=0.0989, val: psnr=25.5340, 2.9s 24.2s/12.6m
epoch 9/250, train: loss=0.1070, val: psnr=25.7502, 2.9s 27.1s/12.5m
epoch 10/250, train: loss=0.0959, val: psnr=26.9440, 3.0s 30.1s/12.5m
epoch 11/250, train: loss=0.0970, val: psnr=26.7251, 2.9s 33.0s/12.5m
epoch 12/250, train: loss=0.0907, val: psnr=27.3590, 3.0s 36.0s/12.5m
epoch 13/250, train: loss=0.0837, val: psnr=27.3593, 3.0s 39.0s/12.5m
epoch 14/250, train: loss=0.0859, val: psnr=27.4632, 3.0s 42.0s/12.5m
epoch 15/250, train: loss=0.0920, val: psnr=27.3454, 3.0s 44.9s/12.5m
epoch 16/250, train: loss=0.0804, val: psnr=28.1572, 3.0s 47.9s/12.5m
epoch 17/250, train: loss=0.0780, val: psnr=27.7162, 2.9s 50.8s/12.5m
epoch 18/250, train: loss=0.0794, val: psnr=28.2556, 3.0s 53.8s/12.5m
epoch 19/250, train: loss=0.0781, val: psnr=28.0796, 2.9s 56.7s/12.4m
epoch 20/250, train: loss=0.0839, val: psnr=28.8500, 3.0s 59.7s/12.4m
epoch 21/250, train: loss=0.0780, val: psnr=27.8557, 2.9s 1.0m/12.4m
epoch 22/250, train: loss=0.0807, val: psnr=28.8689, 3.0s 1.1m/12.4m
epoch 23/250, train: loss=0.0784, val: psnr=28.4456, 3.0s 1.1m/12.4m
epoch 24/250, train: loss=0.0742, val: psnr=27.9234, 2.9s 1.2m/12.4m
epoch 25/250, train: loss=0.0792, val: psnr=28.0474, 3.0s 1.2m/12.4m
epoch 26/250, train: loss=0.0839, val: psnr=28.5874, 2.9s 1.3m/12.4m
epoch 27/250, train: loss=0.0811, val: psnr=28.5409, 2.9s 1.3m/12.4m
epoch 28/250, train: loss=0.0746, val: psnr=28.6802, 3.0s 1.4m/12.4m
epoch 29/250, train: loss=0.0755, val: psnr=28.7563, 2.9s 1.4m/12.4m
epoch 30/250, train: loss=0.0752, val: psnr=28.5404, 2.9s 1.5m/12.4m
epoch 31/250, train: loss=0.0699, val: psnr=29.0819, 3.0s 1.5m/12.4m
