train dataset: size=160
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=320
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/250, train: loss=0.3984, val: psnr=17.9788, 3.5s 3.5s/14.7m
epoch 2/250, train: loss=0.2251, val: psnr=20.8328, 3.0s 6.5s/13.5m
epoch 3/250, train: loss=0.1550, val: psnr=23.1503, 3.0s 9.5s/13.2m
epoch 4/250, train: loss=0.1281, val: psnr=25.0149, 3.0s 12.5s/13.0m
epoch 5/250, train: loss=0.1162, val: psnr=25.3376, 3.0s 15.5s/12.9m
epoch 6/250, train: loss=0.1106, val: psnr=25.4012, 3.0s 18.5s/12.8m
epoch 7/250, train: loss=0.1028, val: psnr=26.7754, 3.0s 21.5s/12.8m
epoch 8/250, train: loss=0.1019, val: psnr=26.5686, 2.9s 24.5s/12.7m
epoch 9/250, train: loss=0.0991, val: psnr=26.5274, 3.0s 27.5s/12.7m
epoch 10/250, train: loss=0.0893, val: psnr=26.6243, 2.9s 30.4s/12.7m
epoch 11/250, train: loss=0.0933, val: psnr=26.7230, 2.9s 33.4s/12.6m
epoch 12/250, train: loss=0.0941, val: psnr=27.5247, 3.0s 36.4s/12.6m
epoch 13/250, train: loss=0.0846, val: psnr=27.2805, 2.9s 39.3s/12.6m
epoch 14/250, train: loss=0.0994, val: psnr=26.3007, 3.0s 42.3s/12.6m
epoch 15/250, train: loss=0.0933, val: psnr=27.3338, 3.0s 45.2s/12.6m
epoch 16/250, train: loss=0.0869, val: psnr=28.0128, 3.0s 48.3s/12.6m
epoch 17/250, train: loss=0.0906, val: psnr=27.2753, 3.0s 51.2s/12.6m
epoch 18/250, train: loss=0.0833, val: psnr=27.6582, 3.0s 54.2s/12.5m
epoch 19/250, train: loss=0.0839, val: psnr=28.4694, 3.1s 57.3s/12.6m
epoch 20/250, train: loss=0.0825, val: psnr=28.1163, 3.0s 1.0m/12.6m
epoch 21/250, train: loss=0.0873, val: psnr=28.2908, 3.0s 1.1m/12.5m
epoch 22/250, train: loss=0.0733, val: psnr=28.7768, 3.0s 1.1m/12.5m
epoch 23/250, train: loss=0.0741, val: psnr=28.6456, 3.0s 1.2m/12.5m
epoch 24/250, train: loss=0.0775, val: psnr=28.8779, 3.0s 1.2m/12.5m
epoch 25/250, train: loss=0.0769, val: psnr=29.0836, 3.1s 1.3m/12.6m
epoch 26/250, train: loss=0.0803, val: psnr=29.0727, 3.0s 1.3m/12.5m
epoch 27/250, train: loss=0.0750, val: psnr=27.8490, 3.0s 1.4m/12.5m
epoch 28/250, train: loss=0.0787, val: psnr=28.3544, 2.9s 1.4m/12.5m
epoch 29/250, train: loss=0.0797, val: psnr=28.9114, 2.9s 1.5m/12.5m
epoch 30/250, train: loss=0.0740, val: psnr=28.4718, 3.0s 1.5m/12.5m
epoch 31/250, train: loss=0.0728, val: psnr=28.4968, 3.0s 1.6m/12.5m
epoch 32/250, train: loss=0.0700, val: psnr=29.7625, 3.0s 1.6m/12.5m
epoch 33/250, train: loss=0.0836, val: psnr=27.5045, 3.0s 1.7m/12.5m
epoch 34/250, train: loss=0.0741, val: psnr=28.3990, 3.0s 1.7m/12.5m
epoch 35/250, train: loss=0.0790, val: psnr=29.1714, 3.0s 1.7m/12.5m
epoch 36/250, train: loss=0.0721, val: psnr=29.4259, 2.9s 1.8m/12.5m
epoch 37/250, train: loss=0.0678, val: psnr=28.5989, 2.9s 1.8m/12.5m
epoch 38/250, train: loss=0.0653, val: psnr=29.4105, 3.0s 1.9m/12.5m
epoch 39/250, train: loss=0.0708, val: psnr=27.2545, 2.9s 1.9m/12.5m
epoch 40/250, train: loss=0.0751, val: psnr=29.1269, 2.9s 2.0m/12.5m
epoch 41/250, train: loss=0.0753, val: psnr=29.3326, 2.9s 2.0m/12.5m
epoch 42/250, train: loss=0.0706, val: psnr=29.8000, 3.1s 2.1m/12.5m
epoch 43/250, train: loss=0.0687, val: psnr=29.5495, 3.0s 2.1m/12.5m
epoch 44/250, train: loss=0.0685, val: psnr=29.9821, 3.0s 2.2m/12.5m
epoch 45/250, train: loss=0.0669, val: psnr=29.6559, 3.0s 2.2m/12.5m
epoch 46/250, train: loss=0.0687, val: psnr=29.8873, 3.0s 2.3m/12.5m
epoch 47/250, train: loss=0.0680, val: psnr=30.1546, 3.0s 2.3m/12.5m
epoch 48/250, train: loss=0.0684, val: psnr=29.3275, 3.0s 2.4m/12.5m
epoch 49/250, train: loss=0.0646, val: psnr=29.9303, 2.9s 2.4m/12.5m
epoch 50/250, train: loss=0.0684, val: psnr=30.2880, 3.1s 2.5m/12.5m
epoch 51/250, train: loss=0.0637, val: psnr=29.8219, 2.9s 2.5m/12.5m
epoch 52/250, train: loss=0.0680, val: psnr=29.9222, 3.0s 2.6m/12.5m
epoch 53/250, train: loss=0.0675, val: psnr=30.3075, 3.0s 2.6m/12.5m
epoch 54/250, train: loss=0.0598, val: psnr=29.3325, 2.9s 2.7m/12.5m
epoch 55/250, train: loss=0.0633, val: psnr=29.9169, 3.0s 2.7m/12.5m
epoch 56/250, train: loss=0.0640, val: psnr=29.7312, 2.9s 2.8m/12.4m
epoch 57/250, train: loss=0.0620, val: psnr=30.5126, 3.0s 2.8m/12.4m
epoch 58/250, train: loss=0.0651, val: psnr=30.3778, 2.9s 2.9m/12.4m
epoch 59/250, train: loss=0.0666, val: psnr=30.0409, 2.9s 2.9m/12.4m
epoch 60/250, train: loss=0.0652, val: psnr=30.0238, 3.0s 3.0m/12.4m
epoch 61/250, train: loss=0.0599, val: psnr=30.0377, 3.0s 3.0m/12.4m
epoch 62/250, train: loss=0.0652, val: psnr=30.4827, 3.0s 3.1m/12.4m
epoch 63/250, train: loss=0.0648, val: psnr=30.4709, 2.9s 3.1m/12.4m
epoch 64/250, train: loss=0.0583, val: psnr=30.2651, 2.9s 3.2m/12.4m
epoch 65/250, train: loss=0.0592, val: psnr=30.3525, 2.9s 3.2m/12.4m
epoch 66/250, train: loss=0.0605, val: psnr=30.5753, 3.0s 3.3m/12.4m
epoch 67/250, train: loss=0.0645, val: psnr=30.9168, 3.0s 3.3m/12.4m
epoch 68/250, train: loss=0.0638, val: psnr=30.9186, 3.0s 3.4m/12.4m
epoch 69/250, train: loss=0.0630, val: psnr=30.3141, 2.9s 3.4m/12.4m
epoch 70/250, train: loss=0.0644, val: psnr=30.2572, 2.9s 3.5m/12.4m
epoch 71/250, train: loss=0.0645, val: psnr=30.1635, 3.0s 3.5m/12.4m
epoch 72/250, train: loss=0.0653, val: psnr=30.2271, 3.0s 3.6m/12.4m
epoch 73/250, train: loss=0.0614, val: psnr=30.6185, 2.9s 3.6m/12.4m
epoch 74/250, train: loss=0.0624, val: psnr=29.9675, 3.0s 3.7m/12.4m
epoch 75/250, train: loss=0.0656, val: psnr=30.2089, 3.0s 3.7m/12.4m
epoch 76/250, train: loss=0.0643, val: psnr=30.8121, 2.9s 3.8m/12.4m
epoch 77/250, train: loss=0.0613, val: psnr=30.2426, 3.0s 3.8m/12.4m
epoch 78/250, train: loss=0.0648, val: psnr=30.5434, 2.9s 3.9m/12.4m
epoch 79/250, train: loss=0.0621, val: psnr=29.9631, 2.9s 3.9m/12.4m
epoch 80/250, train: loss=0.0601, val: psnr=30.7307, 3.1s 4.0m/12.4m
epoch 81/250, train: loss=0.0646, val: psnr=30.4105, 2.9s 4.0m/12.4m
epoch 82/250, train: loss=0.0630, val: psnr=30.0491, 2.9s 4.1m/12.4m
epoch 83/250, train: loss=0.0618, val: psnr=30.2340, 3.0s 4.1m/12.4m
epoch 84/250, train: loss=0.0635, val: psnr=30.5373, 2.9s 4.2m/12.4m
epoch 85/250, train: loss=0.0619, val: psnr=30.1538, 2.9s 4.2m/12.4m
epoch 86/250, train: loss=0.0639, val: psnr=30.2985, 2.9s 4.3m/12.4m
epoch 87/250, train: loss=0.0587, val: psnr=30.3313, 2.9s 4.3m/12.4m
epoch 88/250, train: loss=0.0617, val: psnr=30.2050, 2.9s 4.4m/12.4m
epoch 89/250, train: loss=0.0615, val: psnr=30.1220, 3.0s 4.4m/12.4m
epoch 90/250, train: loss=0.0623, val: psnr=30.3047, 2.9s 4.5m/12.4m
epoch 91/250, train: loss=0.0628, val: psnr=31.0289, 3.0s 4.5m/12.4m
epoch 92/250, train: loss=0.0618, val: psnr=30.1197, 3.0s 4.6m/12.4m
epoch 93/250, train: loss=0.0595, val: psnr=30.9059, 3.0s 4.6m/12.4m
epoch 94/250, train: loss=0.0609, val: psnr=30.4827, 2.9s 4.7m/12.4m
epoch 95/250, train: loss=0.0639, val: psnr=29.9174, 2.9s 4.7m/12.4m
epoch 96/250, train: loss=0.0625, val: psnr=31.2754, 3.0s 4.8m/12.4m
epoch 97/250, train: loss=0.0580, val: psnr=31.0403, 3.0s 4.8m/12.4m
epoch 98/250, train: loss=0.0581, val: psnr=30.7621, 2.9s 4.9m/12.4m
epoch 99/250, train: loss=0.0639, val: psnr=30.4241, 2.9s 4.9m/12.4m
epoch 100/250, train: loss=0.0618, val: psnr=31.1492, 3.0s 5.0m/12.4m
epoch 101/250, train: loss=0.0577, val: psnr=30.6023, 3.0s 5.0m/12.4m
epoch 102/250, train: loss=0.0592, val: psnr=30.1535, 2.9s 5.1m/12.4m
epoch 103/250, train: loss=0.0533, val: psnr=30.6994, 2.9s 5.1m/12.4m
epoch 104/250, train: loss=0.0600, val: psnr=30.9480, 2.9s 5.2m/12.4m
epoch 105/250, train: loss=0.0592, val: psnr=31.2312, 3.0s 5.2m/12.4m
epoch 106/250, train: loss=0.0628, val: psnr=30.4832, 2.9s 5.3m/12.4m
epoch 107/250, train: loss=0.0636, val: psnr=30.7786, 2.9s 5.3m/12.4m
epoch 108/250, train: loss=0.0595, val: psnr=30.9020, 2.9s 5.3m/12.4m
epoch 109/250, train: loss=0.0603, val: psnr=30.4658, 2.9s 5.4m/12.4m
epoch 110/250, train: loss=0.0564, val: psnr=30.2658, 3.0s 5.4m/12.4m
epoch 111/250, train: loss=0.0599, val: psnr=30.4110, 2.9s 5.5m/12.4m
epoch 112/250, train: loss=0.0599, val: psnr=30.6312, 2.9s 5.5m/12.4m
epoch 113/250, train: loss=0.0578, val: psnr=30.4426, 3.0s 5.6m/12.4m
epoch 114/250, train: loss=0.0605, val: psnr=30.4469, 2.9s 5.6m/12.4m
epoch 115/250, train: loss=0.0565, val: psnr=30.2567, 2.9s 5.7m/12.4m
epoch 116/250, train: loss=0.0547, val: psnr=31.0239, 3.0s 5.7m/12.4m
epoch 117/250, train: loss=0.0583, val: psnr=30.6291, 2.9s 5.8m/12.4m
epoch 118/250, train: loss=0.0596, val: psnr=31.1778, 2.9s 5.8m/12.4m
epoch 119/250, train: loss=0.0581, val: psnr=30.5025, 2.9s 5.9m/12.4m
epoch 120/250, train: loss=0.0608, val: psnr=30.3118, 2.9s 5.9m/12.4m
epoch 121/250, train: loss=0.0564, val: psnr=29.9894, 2.9s 6.0m/12.4m
epoch 122/250, train: loss=0.0598, val: psnr=30.2537, 2.9s 6.0m/12.4m
epoch 123/250, train: loss=0.0549, val: psnr=30.3975, 2.9s 6.1m/12.4m
epoch 124/250, train: loss=0.0584, val: psnr=30.6109, 2.9s 6.1m/12.4m
epoch 125/250, train: loss=0.0590, val: psnr=30.5527, 3.0s 6.2m/12.4m
epoch 126/250, train: loss=0.0602, val: psnr=30.1253, 3.0s 6.2m/12.4m
epoch 127/250, train: loss=0.0607, val: psnr=31.0805, 2.9s 6.3m/12.4m
epoch 128/250, train: loss=0.0593, val: psnr=30.1809, 2.9s 6.3m/12.4m
epoch 129/250, train: loss=0.0594, val: psnr=29.8194, 2.9s 6.4m/12.4m
epoch 130/250, train: loss=0.0557, val: psnr=30.5666, 2.9s 6.4m/12.4m
epoch 131/250, train: loss=0.0570, val: psnr=30.9036, 2.9s 6.5m/12.4m
epoch 132/250, train: loss=0.0595, val: psnr=30.6811, 3.0s 6.5m/12.4m
epoch 133/250, train: loss=0.0581, val: psnr=30.3317, 3.0s 6.6m/12.4m
epoch 134/250, train: loss=0.0592, val: psnr=30.1785, 2.9s 6.6m/12.4m
epoch 135/250, train: loss=0.0596, val: psnr=30.6647, 2.9s 6.7m/12.4m
epoch 136/250, train: loss=0.0603, val: psnr=30.8597, 2.9s 6.7m/12.4m
epoch 137/250, train: loss=0.0579, val: psnr=30.6036, 2.9s 6.8m/12.4m
epoch 138/250, train: loss=0.0571, val: psnr=30.7636, 3.0s 6.8m/12.4m
epoch 139/250, train: loss=0.0567, val: psnr=30.7195, 3.0s 6.9m/12.4m
epoch 140/250, train: loss=0.0617, val: psnr=30.3040, 2.9s 6.9m/12.4m
epoch 141/250, train: loss=0.0580, val: psnr=30.5254, 2.9s 7.0m/12.4m
epoch 142/250, train: loss=0.0606, val: psnr=30.9402, 2.9s 7.0m/12.4m
epoch 143/250, train: loss=0.0605, val: psnr=30.2309, 2.9s 7.1m/12.4m
epoch 144/250, train: loss=0.0559, val: psnr=31.1250, 3.0s 7.1m/12.4m
epoch 145/250, train: loss=0.0591, val: psnr=30.5698, 2.9s 7.2m/12.4m
epoch 146/250, train: loss=0.0590, val: psnr=30.1478, 3.0s 7.2m/12.4m
epoch 147/250, train: loss=0.0575, val: psnr=30.6261, 2.9s 7.3m/12.4m
epoch 148/250, train: loss=0.0598, val: psnr=30.4944, 2.9s 7.3m/12.3m
epoch 149/250, train: loss=0.0578, val: psnr=30.5967, 3.0s 7.4m/12.3m
epoch 150/250, train: loss=0.0590, val: psnr=30.5152, 3.0s 7.4m/12.4m
epoch 151/250, train: loss=0.0559, val: psnr=29.9412, 2.9s 7.5m/12.3m
epoch 152/250, train: loss=0.0597, val: psnr=30.8560, 2.9s 7.5m/12.3m
epoch 153/250, train: loss=0.0555, val: psnr=30.5103, 2.9s 7.6m/12.3m
epoch 154/250, train: loss=0.0564, val: psnr=30.5175, 2.9s 7.6m/12.3m
epoch 155/250, train: loss=0.0566, val: psnr=31.0470, 2.9s 7.7m/12.3m
epoch 156/250, train: loss=0.0570, val: psnr=30.2179, 3.0s 7.7m/12.3m
epoch 157/250, train: loss=0.0593, val: psnr=30.4628, 2.9s 7.8m/12.3m
epoch 158/250, train: loss=0.0590, val: psnr=30.7005, 3.0s 7.8m/12.3m
epoch 159/250, train: loss=0.0572, val: psnr=31.2868, 3.0s 7.9m/12.3m
epoch 160/250, train: loss=0.0560, val: psnr=30.5581, 3.0s 7.9m/12.3m
epoch 161/250, train: loss=0.0558, val: psnr=30.6093, 3.0s 8.0m/12.3m
epoch 162/250, train: loss=0.0611, val: psnr=30.4412, 3.0s 8.0m/12.3m
epoch 163/250, train: loss=0.0575, val: psnr=30.3909, 3.0s 8.0m/12.3m
epoch 164/250, train: loss=0.0566, val: psnr=30.7595, 2.9s 8.1m/12.3m
epoch 165/250, train: loss=0.0574, val: psnr=30.9120, 2.9s 8.1m/12.3m
epoch 166/250, train: loss=0.0575, val: psnr=30.5170, 3.0s 8.2m/12.3m
epoch 167/250, train: loss=0.0597, val: psnr=31.1336, 2.9s 8.2m/12.3m
epoch 168/250, train: loss=0.0597, val: psnr=30.7603, 3.0s 8.3m/12.3m
epoch 169/250, train: loss=0.0574, val: psnr=30.7124, 2.9s 8.3m/12.3m
epoch 170/250, train: loss=0.0572, val: psnr=30.9719, 2.9s 8.4m/12.3m
epoch 171/250, train: loss=0.0555, val: psnr=30.4190, 2.9s 8.4m/12.3m
epoch 172/250, train: loss=0.0564, val: psnr=30.4683, 2.9s 8.5m/12.3m
epoch 173/250, train: loss=0.0571, val: psnr=30.7280, 2.9s 8.5m/12.3m
