train dataset: size=186
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=10
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/94, train: loss=0.1880, val: psnr=21.0666, 3.1s 3.1s/4.8m
epoch 2/94, train: loss=0.1094, val: psnr=24.7052, 2.7s 5.8s/4.5m
epoch 3/94, train: loss=0.0778, val: psnr=24.2007, 2.7s 8.5s/4.4m
epoch 4/94, train: loss=0.0753, val: psnr=24.1691, 2.7s 11.2s/4.4m
epoch 5/94, train: loss=0.0937, val: psnr=25.5737, 2.7s 13.9s/4.4m
epoch 6/94, train: loss=0.0585, val: psnr=27.4544, 2.7s 16.6s/4.3m
epoch 7/94, train: loss=0.0575, val: psnr=26.0324, 2.6s 19.2s/4.3m
epoch 8/94, train: loss=0.0562, val: psnr=30.0954, 2.7s 22.0s/4.3m
epoch 9/94, train: loss=0.0580, val: psnr=28.1731, 2.7s 24.7s/4.3m
epoch 10/94, train: loss=0.0544, val: psnr=27.0969, 2.6s 27.3s/4.3m
epoch 11/94, train: loss=0.0608, val: psnr=28.8101, 2.6s 30.0s/4.3m
epoch 12/94, train: loss=0.0583, val: psnr=27.0577, 2.7s 32.6s/4.3m
epoch 13/94, train: loss=0.0521, val: psnr=28.2805, 2.7s 35.3s/4.3m
epoch 14/94, train: loss=0.0466, val: psnr=27.6630, 2.7s 38.0s/4.3m
epoch 15/94, train: loss=0.0475, val: psnr=29.5721, 2.7s 40.7s/4.3m
epoch 16/94, train: loss=0.0444, val: psnr=31.3835, 2.7s 43.4s/4.3m
epoch 17/94, train: loss=0.0470, val: psnr=29.1228, 2.6s 46.1s/4.2m
epoch 18/94, train: loss=0.0468, val: psnr=30.8006, 2.7s 48.8s/4.2m
epoch 19/94, train: loss=0.0476, val: psnr=27.9316, 2.7s 51.5s/4.2m
epoch 20/94, train: loss=0.0484, val: psnr=31.7770, 2.8s 54.3s/4.3m
epoch 21/94, train: loss=0.0512, val: psnr=27.7992, 2.6s 56.9s/4.2m
epoch 22/94, train: loss=0.0442, val: psnr=28.8493, 2.6s 59.5s/4.2m
epoch 23/94, train: loss=0.0425, val: psnr=31.4174, 2.7s 1.0m/4.2m
epoch 24/94, train: loss=0.0403, val: psnr=34.0307, 2.7s 1.1m/4.2m
epoch 25/94, train: loss=0.0442, val: psnr=30.1718, 2.7s 1.1m/4.2m
epoch 26/94, train: loss=0.0416, val: psnr=31.9038, 2.7s 1.2m/4.2m
epoch 27/94, train: loss=0.0409, val: psnr=29.8408, 2.7s 1.2m/4.2m
epoch 28/94, train: loss=0.0411, val: psnr=32.7061, 2.6s 1.3m/4.2m
epoch 29/94, train: loss=0.0411, val: psnr=30.5811, 2.6s 1.3m/4.2m
epoch 30/94, train: loss=0.0442, val: psnr=31.8021, 2.6s 1.3m/4.2m
epoch 31/94, train: loss=0.0432, val: psnr=31.4259, 2.7s 1.4m/4.2m
epoch 32/94, train: loss=0.0419, val: psnr=28.1384, 2.7s 1.4m/4.2m
epoch 33/94, train: loss=0.0426, val: psnr=32.1811, 2.6s 1.5m/4.2m
epoch 34/94, train: loss=0.0407, val: psnr=31.5809, 2.6s 1.5m/4.2m
epoch 35/94, train: loss=0.0432, val: psnr=28.7036, 2.7s 1.6m/4.2m
epoch 36/94, train: loss=0.0407, val: psnr=32.3665, 2.7s 1.6m/4.2m
epoch 37/94, train: loss=0.0401, val: psnr=30.4306, 2.7s 1.7m/4.2m
epoch 38/94, train: loss=0.0396, val: psnr=30.9241, 2.6s 1.7m/4.2m
epoch 39/94, train: loss=0.0400, val: psnr=32.8051, 2.6s 1.7m/4.2m
epoch 40/94, train: loss=0.0407, val: psnr=30.4999, 2.6s 1.8m/4.2m
epoch 41/94, train: loss=0.0442, val: psnr=28.6077, 2.7s 1.8m/4.2m
epoch 42/94, train: loss=0.0409, val: psnr=31.6818, 2.7s 1.9m/4.2m
epoch 43/94, train: loss=0.0377, val: psnr=30.0889, 2.7s 1.9m/4.2m
epoch 44/94, train: loss=0.0396, val: psnr=30.5412, 2.6s 2.0m/4.2m
epoch 45/94, train: loss=0.0395, val: psnr=32.6128, 2.7s 2.0m/4.2m
epoch 46/94, train: loss=0.0418, val: psnr=32.4983, 2.7s 2.1m/4.2m
epoch 47/94, train: loss=0.0378, val: psnr=30.4582, 2.7s 2.1m/4.2m
