train dataset: size=186
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=10
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/94, train: loss=0.1721, val: psnr=22.2102, 3.4s 3.4s/5.3m
epoch 2/94, train: loss=0.1241, val: psnr=23.7549, 3.0s 6.4s/5.0m
epoch 3/94, train: loss=0.0850, val: psnr=27.7848, 2.9s 9.2s/4.8m
epoch 4/94, train: loss=0.0783, val: psnr=28.2281, 3.0s 12.3s/4.8m
epoch 5/94, train: loss=0.0953, val: psnr=26.4997, 2.9s 15.2s/4.8m
epoch 6/94, train: loss=0.1012, val: psnr=28.7346, 2.8s 18.0s/4.7m
epoch 7/94, train: loss=0.0784, val: psnr=24.0705, 2.8s 20.8s/4.7m
epoch 8/94, train: loss=0.0682, val: psnr=26.1960, 2.8s 23.6s/4.6m
epoch 9/94, train: loss=0.0621, val: psnr=28.4052, 3.0s 26.6s/4.6m
epoch 10/94, train: loss=0.0590, val: psnr=30.7318, 3.0s 29.6s/4.6m
epoch 11/94, train: loss=0.0528, val: psnr=31.1508, 2.9s 32.6s/4.6m
epoch 12/94, train: loss=0.0482, val: psnr=29.1055, 2.9s 35.5s/4.6m
epoch 13/94, train: loss=0.0478, val: psnr=29.9500, 2.8s 38.3s/4.6m
epoch 14/94, train: loss=0.0498, val: psnr=29.8192, 2.9s 41.1s/4.6m
epoch 15/94, train: loss=0.0476, val: psnr=28.1038, 2.9s 44.0s/4.6m
epoch 16/94, train: loss=0.0507, val: psnr=30.2166, 2.8s 46.8s/4.6m
epoch 17/94, train: loss=0.0541, val: psnr=30.1466, 2.8s 49.7s/4.6m
epoch 18/94, train: loss=0.0444, val: psnr=31.5999, 2.9s 52.5s/4.6m
epoch 19/94, train: loss=0.0513, val: psnr=29.0235, 2.9s 55.4s/4.6m
epoch 20/94, train: loss=0.0433, val: psnr=30.5504, 2.9s 58.3s/4.6m
epoch 21/94, train: loss=0.0448, val: psnr=30.9045, 3.0s 1.0m/4.6m
epoch 22/94, train: loss=0.0442, val: psnr=31.8097, 3.0s 1.1m/4.6m
epoch 23/94, train: loss=0.0499, val: psnr=30.8863, 2.9s 1.1m/4.6m
epoch 24/94, train: loss=0.0448, val: psnr=31.3968, 2.9s 1.2m/4.6m
epoch 25/94, train: loss=0.0460, val: psnr=31.8813, 3.0s 1.2m/4.6m
epoch 26/94, train: loss=0.0520, val: psnr=30.0081, 2.9s 1.3m/4.6m
epoch 27/94, train: loss=0.0425, val: psnr=31.4534, 2.9s 1.3m/4.6m
epoch 28/94, train: loss=0.0432, val: psnr=30.1457, 2.8s 1.4m/4.6m
epoch 29/94, train: loss=0.0397, val: psnr=27.9234, 2.9s 1.4m/4.6m
epoch 30/94, train: loss=0.0458, val: psnr=31.0991, 2.9s 1.5m/4.6m
epoch 31/94, train: loss=0.0417, val: psnr=32.2859, 2.9s 1.5m/4.6m
epoch 32/94, train: loss=0.0419, val: psnr=30.7100, 2.9s 1.6m/4.6m
epoch 33/94, train: loss=0.0430, val: psnr=32.4147, 3.0s 1.6m/4.6m
epoch 34/94, train: loss=0.0450, val: psnr=33.7048, 3.0s 1.7m/4.6m
epoch 35/94, train: loss=0.0390, val: psnr=32.2948, 2.9s 1.7m/4.6m
epoch 36/94, train: loss=0.0422, val: psnr=29.5643, 2.9s 1.7m/4.6m
epoch 37/94, train: loss=0.0389, val: psnr=34.0318, 2.9s 1.8m/4.6m
epoch 38/94, train: loss=0.0433, val: psnr=31.9515, 3.0s 1.8m/4.6m
epoch 39/94, train: loss=0.0405, val: psnr=29.9109, 2.8s 1.9m/4.6m
epoch 40/94, train: loss=0.0405, val: psnr=29.1051, 3.0s 1.9m/4.6m
epoch 41/94, train: loss=0.0463, val: psnr=31.6386, 3.0s 2.0m/4.6m
epoch 42/94, train: loss=0.0401, val: psnr=32.4265, 3.0s 2.0m/4.6m
epoch 43/94, train: loss=0.0457, val: psnr=29.6758, 2.9s 2.1m/4.6m
epoch 44/94, train: loss=0.0468, val: psnr=32.4327, 2.8s 2.1m/4.6m
epoch 45/94, train: loss=0.0400, val: psnr=31.3146, 2.9s 2.2m/4.6m
epoch 46/94, train: loss=0.0394, val: psnr=33.3214, 3.0s 2.2m/4.6m
epoch 47/94, train: loss=0.0395, val: psnr=31.8942, 2.8s 2.3m/4.6m
epoch 48/94, train: loss=0.0389, val: psnr=30.4730, 2.8s 2.3m/4.6m
epoch 49/94, train: loss=0.0391, val: psnr=30.7062, 2.9s 2.4m/4.6m
epoch 50/94, train: loss=0.0404, val: psnr=31.7991, 2.8s 2.4m/4.6m
epoch 51/94, train: loss=0.0405, val: psnr=31.8581, 2.8s 2.5m/4.6m
epoch 52/94, train: loss=0.0377, val: psnr=31.3360, 2.8s 2.5m/4.6m
epoch 53/94, train: loss=0.0419, val: psnr=32.3516, 2.9s 2.6m/4.6m
epoch 54/94, train: loss=0.0377, val: psnr=31.6869, 2.8s 2.6m/4.6m
epoch 55/94, train: loss=0.0447, val: psnr=29.4228, 2.9s 2.7m/4.6m
epoch 56/94, train: loss=0.0390, val: psnr=30.4012, 2.9s 2.7m/4.5m
epoch 57/94, train: loss=0.0398, val: psnr=30.5823, 2.9s 2.8m/4.5m
epoch 58/94, train: loss=0.0396, val: psnr=30.1286, 2.8s 2.8m/4.5m
epoch 59/94, train: loss=0.0388, val: psnr=32.8363, 2.9s 2.9m/4.5m
epoch 60/94, train: loss=0.0373, val: psnr=32.1540, 2.9s 2.9m/4.5m
epoch 61/94, train: loss=0.0380, val: psnr=31.5669, 2.8s 2.9m/4.5m
epoch 62/94, train: loss=0.0397, val: psnr=31.7064, 2.8s 3.0m/4.5m
epoch 63/94, train: loss=0.0403, val: psnr=31.0358, 2.9s 3.0m/4.5m
epoch 64/94, train: loss=0.0418, val: psnr=34.0717, 2.9s 3.1m/4.5m
epoch 65/94, train: loss=0.0382, val: psnr=30.0458, 2.8s 3.1m/4.5m
