train dataset: size=186
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=10
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/94, train: loss=0.2460, val: psnr=24.4849, 3.5s 3.5s/5.5m
epoch 2/94, train: loss=0.1098, val: psnr=23.1296, 3.0s 6.5s/5.1m
epoch 3/94, train: loss=0.0888, val: psnr=25.1960, 3.1s 9.6s/5.0m
epoch 4/94, train: loss=0.0913, val: psnr=25.5335, 3.1s 12.7s/5.0m
epoch 5/94, train: loss=0.0741, val: psnr=25.4917, 3.0s 15.6s/4.9m
epoch 6/94, train: loss=0.0883, val: psnr=26.5965, 3.0s 18.6s/4.9m
epoch 7/94, train: loss=0.0775, val: psnr=26.0209, 2.9s 21.5s/4.8m
epoch 8/94, train: loss=0.0650, val: psnr=28.0511, 3.0s 24.6s/4.8m
epoch 9/94, train: loss=0.0597, val: psnr=27.5659, 2.9s 27.5s/4.8m
epoch 10/94, train: loss=0.0570, val: psnr=29.6765, 2.9s 30.4s/4.8m
epoch 11/94, train: loss=0.0647, val: psnr=29.3657, 2.9s 33.4s/4.8m
epoch 12/94, train: loss=0.0610, val: psnr=28.3541, 3.1s 36.4s/4.8m
epoch 13/94, train: loss=0.0595, val: psnr=29.0678, 2.9s 39.4s/4.7m
epoch 14/94, train: loss=0.0520, val: psnr=30.1963, 3.0s 42.4s/4.7m
epoch 15/94, train: loss=0.0533, val: psnr=27.8231, 2.9s 45.3s/4.7m
epoch 16/94, train: loss=0.0500, val: psnr=32.4507, 3.0s 48.3s/4.7m
epoch 17/94, train: loss=0.0532, val: psnr=27.4261, 2.9s 51.2s/4.7m
epoch 18/94, train: loss=0.0517, val: psnr=29.6105, 3.0s 54.3s/4.7m
epoch 19/94, train: loss=0.0539, val: psnr=29.0635, 3.0s 57.3s/4.7m
epoch 20/94, train: loss=0.0564, val: psnr=30.2766, 3.0s 1.0m/4.7m
epoch 21/94, train: loss=0.0507, val: psnr=29.2769, 2.9s 1.1m/4.7m
epoch 22/94, train: loss=0.0449, val: psnr=30.2741, 3.0s 1.1m/4.7m
epoch 23/94, train: loss=0.0464, val: psnr=31.8104, 3.0s 1.2m/4.7m
epoch 24/94, train: loss=0.0472, val: psnr=31.1333, 3.0s 1.2m/4.7m
epoch 25/94, train: loss=0.0465, val: psnr=31.6904, 2.9s 1.3m/4.7m
epoch 26/94, train: loss=0.0481, val: psnr=29.6868, 3.0s 1.3m/4.7m
epoch 27/94, train: loss=0.0432, val: psnr=33.4730, 3.1s 1.4m/4.7m
epoch 28/94, train: loss=0.0444, val: psnr=31.3059, 3.0s 1.4m/4.7m
epoch 29/94, train: loss=0.0428, val: psnr=31.2851, 3.0s 1.5m/4.7m
epoch 30/94, train: loss=0.0501, val: psnr=31.0012, 3.0s 1.5m/4.7m
epoch 31/94, train: loss=0.0458, val: psnr=30.8129, 3.0s 1.6m/4.7m
epoch 32/94, train: loss=0.0424, val: psnr=29.5825, 3.0s 1.6m/4.7m
epoch 33/94, train: loss=0.0466, val: psnr=31.2988, 2.9s 1.7m/4.7m
epoch 34/94, train: loss=0.0433, val: psnr=30.9751, 2.9s 1.7m/4.7m
epoch 35/94, train: loss=0.0443, val: psnr=30.5371, 2.9s 1.7m/4.7m
epoch 36/94, train: loss=0.0434, val: psnr=30.5126, 3.0s 1.8m/4.7m
epoch 37/94, train: loss=0.0437, val: psnr=30.0163, 3.0s 1.8m/4.7m
