train dataset: size=186
  inp: shape=(3, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 3)
val dataset: size=5
  inp: shape=(3, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 3)
model: #params=1.6M
epoch 1/94, train: loss=0.1804, val: psnr=24.5505, 5.3s 5.3s/8.3m
epoch 2/94, train: loss=0.1077, val: psnr=24.6618, 4.8s 10.1s/7.9m
epoch 3/94, train: loss=0.0945, val: psnr=27.5762, 4.9s 15.0s/7.8m
epoch 4/94, train: loss=0.0747, val: psnr=26.0191, 4.9s 19.8s/7.8m
epoch 5/94, train: loss=0.0673, val: psnr=30.1524, 4.8s 24.6s/7.7m
epoch 6/94, train: loss=0.0667, val: psnr=26.9312, 4.9s 29.4s/7.7m
epoch 7/94, train: loss=0.0643, val: psnr=27.7734, 4.8s 34.2s/7.7m
epoch 8/94, train: loss=0.0598, val: psnr=30.2424, 4.8s 39.1s/7.7m
epoch 9/94, train: loss=0.0547, val: psnr=30.8879, 4.9s 43.9s/7.6m
epoch 10/94, train: loss=0.0601, val: psnr=30.0979, 4.8s 48.7s/7.6m
epoch 11/94, train: loss=0.0593, val: psnr=29.5779, 4.8s 53.5s/7.6m
epoch 12/94, train: loss=0.0591, val: psnr=26.0826, 4.7s 58.2s/7.6m
epoch 13/94, train: loss=0.0516, val: psnr=32.0959, 4.9s 1.1m/7.6m
epoch 14/94, train: loss=0.0499, val: psnr=31.8935, 4.7s 1.1m/7.6m
epoch 15/94, train: loss=0.0512, val: psnr=32.0352, 4.7s 1.2m/7.6m
epoch 16/94, train: loss=0.0499, val: psnr=30.3364, 4.9s 1.3m/7.6m
epoch 17/94, train: loss=0.0560, val: psnr=33.5209, 4.8s 1.4m/7.6m
epoch 18/94, train: loss=0.0558, val: psnr=26.9102, 4.7s 1.4m/7.6m
epoch 19/94, train: loss=0.0535, val: psnr=24.2569, 4.8s 1.5m/7.6m
epoch 20/94, train: loss=0.0583, val: psnr=30.7241, 4.9s 1.6m/7.6m
epoch 21/94, train: loss=0.0474, val: psnr=31.8520, 5.0s 1.7m/7.6m
epoch 22/94, train: loss=0.0474, val: psnr=32.8064, 4.8s 1.8m/7.6m
epoch 23/94, train: loss=0.0483, val: psnr=29.2063, 4.9s 1.9m/7.6m
epoch 24/94, train: loss=0.0465, val: psnr=26.1380, 4.7s 1.9m/7.6m
epoch 25/94, train: loss=0.0466, val: psnr=30.2303, 4.8s 2.0m/7.6m
epoch 26/94, train: loss=0.0500, val: psnr=31.0995, 4.9s 2.1m/7.6m
epoch 27/94, train: loss=0.0470, val: psnr=30.6322, 4.8s 2.2m/7.6m
epoch 28/94, train: loss=0.0505, val: psnr=31.3840, 4.8s 2.3m/7.6m
epoch 29/94, train: loss=0.0465, val: psnr=26.4269, 4.9s 2.3m/7.6m
epoch 30/94, train: loss=0.0487, val: psnr=25.9559, 4.7s 2.4m/7.6m
epoch 31/94, train: loss=0.0466, val: psnr=27.2074, 4.7s 2.5m/7.6m
epoch 32/94, train: loss=0.0524, val: psnr=30.2552, 4.8s 2.6m/7.6m
epoch 33/94, train: loss=0.0515, val: psnr=29.2822, 4.9s 2.7m/7.6m
epoch 34/94, train: loss=0.0535, val: psnr=32.8463, 4.8s 2.7m/7.6m
epoch 35/94, train: loss=0.0478, val: psnr=31.3364, 4.7s 2.8m/7.6m
epoch 36/94, train: loss=0.0481, val: psnr=31.0845, 4.8s 2.9m/7.6m
epoch 37/94, train: loss=0.0500, val: psnr=31.5774, 4.8s 3.0m/7.6m
epoch 38/94, train: loss=0.0497, val: psnr=31.7863, 4.8s 3.1m/7.6m
epoch 39/94, train: loss=0.0499, val: psnr=29.9897, 4.8s 3.1m/7.6m
epoch 40/94, train: loss=0.0477, val: psnr=29.6430, 4.8s 3.2m/7.6m
epoch 41/94, train: loss=0.0459, val: psnr=33.0731, 4.9s 3.3m/7.6m
epoch 42/94, train: loss=0.0430, val: psnr=31.7887, 4.9s 3.4m/7.6m
epoch 43/94, train: loss=0.0476, val: psnr=31.5701, 4.7s 3.5m/7.6m
epoch 44/94, train: loss=0.0480, val: psnr=30.9691, 4.8s 3.5m/7.6m
epoch 45/94, train: loss=0.0526, val: psnr=29.4651, 4.8s 3.6m/7.6m
epoch 46/94, train: loss=0.0448, val: psnr=31.2745, 4.8s 3.7m/7.6m
epoch 47/94, train: loss=0.0465, val: psnr=34.1182, 4.9s 3.8m/7.6m
epoch 48/94, train: loss=0.0502, val: psnr=29.6524, 4.9s 3.9m/7.6m
epoch 49/94, train: loss=0.0451, val: psnr=30.2362, 4.8s 3.9m/7.6m
epoch 50/94, train: loss=0.0443, val: psnr=29.0568, 4.8s 4.0m/7.6m
epoch 51/94, train: loss=0.0441, val: psnr=30.3838, 4.7s 4.1m/7.6m
epoch 52/94, train: loss=0.0489, val: psnr=34.2903, 4.9s 4.2m/7.6m
epoch 53/94, train: loss=0.0468, val: psnr=26.6681, 4.9s 4.3m/7.6m
epoch 54/94, train: loss=0.0476, val: psnr=31.5774, 4.9s 4.3m/7.6m
epoch 55/94, train: loss=0.0455, val: psnr=28.7444, 4.8s 4.4m/7.6m
epoch 56/94, train: loss=0.0461, val: psnr=29.8667, 4.7s 4.5m/7.6m
epoch 57/94, train: loss=0.0470, val: psnr=33.3412, 4.9s 4.6m/7.6m
epoch 58/94, train: loss=0.0473, val: psnr=29.6960, 4.8s 4.7m/7.6m
epoch 59/94, train: loss=0.0473, val: psnr=28.3381, 4.9s 4.7m/7.6m
epoch 60/94, train: loss=0.0454, val: psnr=27.9652, 4.9s 4.8m/7.6m
epoch 61/94, train: loss=0.0455, val: psnr=32.1554, 4.9s 4.9m/7.6m
