train dataset: size=160
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=320
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/250, train: loss=0.3775, val: psnr=16.9587, 2.2s 2.2s/9.2m
epoch 2/250, train: loss=0.1796, val: psnr=19.0630, 1.7s 3.9s/8.2m
epoch 3/250, train: loss=0.1314, val: psnr=22.9470, 1.7s 5.6s/7.8m
epoch 4/250, train: loss=0.1029, val: psnr=23.3181, 1.7s 7.3s/7.7m
epoch 5/250, train: loss=0.1056, val: psnr=24.4409, 1.7s 9.1s/7.6m
epoch 6/250, train: loss=0.0984, val: psnr=23.7356, 1.7s 10.8s/7.5m
epoch 7/250, train: loss=0.0796, val: psnr=24.7468, 1.7s 12.5s/7.4m
epoch 8/250, train: loss=0.0744, val: psnr=25.6982, 1.7s 14.2s/7.4m
epoch 9/250, train: loss=0.0701, val: psnr=25.6253, 1.7s 15.8s/7.3m
epoch 10/250, train: loss=0.0612, val: psnr=26.3489, 1.7s 17.6s/7.3m
epoch 11/250, train: loss=0.0662, val: psnr=26.7358, 1.7s 19.3s/7.3m
epoch 12/250, train: loss=0.0740, val: psnr=25.3380, 1.6s 20.9s/7.3m
epoch 13/250, train: loss=0.0773, val: psnr=26.5908, 1.6s 22.5s/7.2m
epoch 14/250, train: loss=0.0688, val: psnr=26.7401, 1.7s 24.2s/7.2m
epoch 15/250, train: loss=0.0656, val: psnr=27.3564, 1.7s 26.0s/7.2m
epoch 16/250, train: loss=0.0593, val: psnr=26.6173, 1.6s 27.6s/7.2m
epoch 17/250, train: loss=0.0678, val: psnr=27.6184, 1.7s 29.3s/7.2m
epoch 18/250, train: loss=0.0668, val: psnr=27.3805, 1.7s 31.0s/7.2m
epoch 19/250, train: loss=0.0624, val: psnr=27.4715, 1.7s 32.7s/7.2m
epoch 20/250, train: loss=0.0558, val: psnr=28.0351, 1.7s 34.3s/7.2m
epoch 21/250, train: loss=0.0569, val: psnr=27.9966, 1.6s 36.0s/7.1m
epoch 22/250, train: loss=0.0533, val: psnr=27.6509, 1.6s 37.6s/7.1m
epoch 23/250, train: loss=0.0550, val: psnr=28.5092, 1.7s 39.3s/7.1m
epoch 24/250, train: loss=0.0512, val: psnr=27.9012, 1.6s 40.9s/7.1m
epoch 25/250, train: loss=0.0530, val: psnr=29.0386, 1.7s 42.6s/7.1m
epoch 26/250, train: loss=0.0512, val: psnr=28.3655, 1.6s 44.3s/7.1m
